Ref,Val,Package,PosX,PosY,Rot,Side
"R16","DNI","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",32.800000,31.379000,-90.000000,top
"R17","DNI","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",34.950000,31.429000,-90.000000,top
"R18","DNI","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",24.500000,37.979000,180.000000,top
"R19","10K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",41.025000,36.629000,0.000000,top
"R20","10K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",52.974999,51.929000,180.000000,top
"R21","10K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",41.000000,49.679000,180.000000,top
"R22","100r","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",53.175000,45.879000,180.000000,top
"R23","DNI","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",64.550000,31.929000,-90.000000,top
"R24","DNI","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",66.525000,31.979000,-90.000000,top
"R25","DNI","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",55.275000,38.254000,180.000000,top
"R26","6.8K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",20.550000,27.129000,0.000000,top
"R27","10K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",24.500000,27.079000,0.000000,top
"R28","10K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",28.725000,27.029000,0.000000,top
"R29","6.8K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",52.450000,27.479000,0.000000,top
"R30","10K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",56.625000,27.529000,0.000000,top
"R31","10K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",60.750000,27.579000,0.000000,top
"R32","10K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",38.725000,17.379000,0.000000,top
"R33","1K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",40.925000,29.429000,0.000000,top
"R34","10K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",60.875000,24.429000,0.000000,top
"R35","10K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",60.925000,22.479000,180.000000,top
"R36","10K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",52.925000,14.729000,180.000000,top
"R37","10K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",52.975000,18.779000,0.000000,top
"R38","100r","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",52.925000,12.729000,180.000000,top
"TP1","TestPoint","TestPoint_Loop_D2.54mm_Drill1.5mm_Beaded",2.425000,52.704000,0.000000,top
"TP2","TestPoint","TestPoint_Loop_D2.54mm_Drill1.5mm_Beaded",53.225000,34.129000,0.000000,top
"U1","ATtiny804-SS","SOIC-14_3.9x8.7mm_P1.27mm",11.000000,25.979000,0.000000,top
"U2","MCP23S17_SO","SOIC-28W_7.5x17.9mm_P1.27mm",26.150000,11.579000,90.000000,top
"U3","4066","SOIC-14_3.9x8.7mm_P1.27mm",31.950000,37.279000,90.000000,top
"U4","74HC74","SOIC-14_3.9x8.7mm_P1.27mm",31.850000,47.629000,0.000000,top
"U5","MCP42100","SOIC-14_3.9x8.7mm_P1.27mm",14.850000,41.329000,90.000000,top
"U6","555","SOIC-8_3.9x4.9mm_P1.27mm",15.900000,50.079000,0.000000,top
"U7","MCP6001/OT","SOT-23-5",22.450000,42.429000,0.000000,top
"U8","4066","SOIC-14_3.9x8.7mm_P1.27mm",63.500000,37.779000,90.000000,top
"U9","74HC74","SOIC-14_3.9x8.7mm_P1.27mm",62.700000,48.279000,0.000000,top
"U10","MCP42100","SOIC-14_3.9x8.7mm_P1.27mm",46.050000,41.579000,90.000000,top
"U11","555","SOIC-8_3.9x4.9mm_P1.27mm",46.800000,50.329000,0.000000,top
"U12","MCP6001/OT","SOT-23-5",53.300000,42.879000,0.000000,top
"U13","MCP6001-OT","SOT-23-5",41.000000,32.279000,0.000000,top
"U14","MCP42100","SOIC-14_3.9x8.7mm_P1.27mm",43.700000,22.079000,90.000000,top
"U15","MCP6001-OT","SOT-23-5",52.750000,21.729000,0.000000,top
